ID;Nom_Fondation;Groupe_Parent;Priorite;Thematiques_Cibles;Nom_Contact;Poste_Contact;Email_Contact;Site_Web;Lien_Depot_AAP;Ticket_Moyen_Estime;Type_Approche;Angle_Pitch_Ambition_Campus;Statut_Prospection;Notes_Action
FOND-37;Fondation Auchan (ex Fondation Auchan pour la Jeunesse);Auchan Retail France;Tier 4 - Fondation Abritée & Enseignement Supérieur;Jeunesse 5–25 ans, éducation, santé, bonne alimentation, insertion, projets de quartier autour des magasins, bourses étudiantes.wikipedia;Direction Fondation Auchan;Délégué général Fondation Auchan pour la Jeunessela-croix;"mfmairesse@auchan.fr pour certains appels à projets ; plus généralement, contact via fondation-auchan.fr (adresse générique et formulaires).auchan-retail";https://www..frwikipedia;"Appels à projets « Ensemble pour la jeunesse » et appels locaux ; dossiers envoyés par email avant une date limite (ex : 25 janvier 2021) selon le règlement.auchan-retail";5 000 € – 12 000 € par projet, jusqu’à 1,5 M€ distribués par an.wikipedia;Candidature AAP / Contact mécénat direct;En finançant des projets éducatifs pour jeunes de 5 à 25 ans dans les quartiers d’implantation de ses magasins, la Fondation Auchan peut soutenir des antennes Ambition Campus proches de ses hypermarchés, qui combinent soutien scolaire, mentorat et éducation à la bonne alimentation via ateliers, en parfaite cohérence avec ses axes éducation‑santé‑insertion.la-croix;À qualifier & contacter;Vérifier la session AAP sur https://www..frwikipedia et envoyer le PDF A4.
FOND-38;Fondation Monoprix;Monoprix;Tier 4 - Fondation Abritée & Enseignement Supérieur;"Lutte contre la solitude des personnes sans‑abri, solidarité urbaine, projets en cœur de ville ; don de marchandises, soutien à associations locales.fondationmonoprix";Direction Fondation Monoprix;Délégué général Fondation Monoprixfondationmonoprix;"contact via site fondationmonoprix.fr ; pattern nominatif : prenom.nom@monoprix.fr.fondationmonoprix";https://www.fondationmonoprix.fr/fondationmonoprix;"Appels à projets (ex : Ulule x Fondation Monoprix) ; modalités de dépôt et critères décrits dans les pages dédiées.fondationmonoprix";10 000 € – 30 000 € par projet (plus de 160 projets financés).fondationmonoprix;Candidature AAP / Contact mécénat direct;"Dans les centres‑villes où Monoprix est implanté, Ambition Campus contribue à prévenir l’isolement et la précarité future des lycéens en travaillant sur leur réussite scolaire et leur projet de vie ; des ateliers d’éloquence, de mentorat et de préparation aux études supérieures peuvent être cofinancés par la Fondation Monoprix dans les quartiers proches de ses magasins.fondationmonoprix";À qualifier & contacter;Vérifier la session AAP sur https://www.fondationmonoprix.fr/fondationmonoprix et envoyer le PDF A4.
FOND-39;Fondation Carrefour;Carrefour;Tier 4 - Fondation Abritée & Enseignement Supérieur;Égalité des chances, insertion sociale des jeunes en quartiers prioritaires, éducation à la nutrition, projets associatifs parrainés par des collaborateurs.carenews;Direction Fondation Carrefour;Délégué général Fondation Carrefourcarenews;"contact via formulaire de l’appel à projets collaborateurs et newsletter ; pattern nominatif : prenom.nom@carrefour.com.fondation-carrefour";https://www.fondation-carrefour.org/;"Appels à projets collaborateurs récurrents ; dépôt via plateforme dédiée dans des fenêtres de candidature définies (voir AAP #2).fondation-carrefour";10 000 € – 30 000 € par projet (ex : projets Fête le Mur, Ma Chance Moi Aussi).carenews;Candidature AAP / Contact mécénat direct;"Ambition Campus peut être présenté comme un programme qui, comme Ma Chance Moi Aussi, rétablit l’égalité des chances pour des jeunes des QPV par un accompagnement intensif ; la Fondation Carrefour peut financer des ateliers combinant éducation à la nutrition et préparation aux études d’excellence avec des collaborateurs parrains.carenews";À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-carrefour.org/ et envoyer le PDF A4.
FOND-40;Fondation Bel;Groupe Bel;Tier 4 - Fondation Abritée & Enseignement Supérieur;Lutte contre la précarité alimentaire des enfants, accès à une alimentation saine, cantines scolaires, soutien à associations engagées pour le bien‑être des enfants.fondation-bel;Direction Fondation Bel;Déléguée générale de la Fondation d’entreprise Belfondation-bel;"contact via formulaires sur le site ; pas d’email nominatif public (pattern : prenom.nom@groupe-bel.com).fondation-bel";https://www.fondation-bel.org/;"Appels à projets pour associations luttant contre la précarité alimentaire des jeunes enfants ; dépôt via site avec calendrier précisé (sélection par comité).fondation-bel";10 000 € – 30 000 € par projet en France.fondation-bel;Candidature AAP / Contact mécénat direct;En ciblant les cantines scolaires comme lieux d’égalité des chances, la Fondation Bel peut soutenir des volets d’Ambition Campus intégrés aux lycées REP (petits déjeuners, ateliers nutrition + mentorat) qui sécurisent les conditions d’apprentissage des lycéens boursiers et renforcent leur capacité à suivre des parcours exigeants.fondation-bel;À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-bel.org/ et envoyer le PDF A4.
FOND-41;Fondation Air France;Air France;Tier 3 - Tech, Transport & Médias;Éducation, inclusion, insertion sociale et professionnelle de jeunes en grande difficulté, lutte contre le décrochage scolaire, fracture numérique, éducation environnementale.corporate.airfrance;Anne Rigail;Présidente de la Fondation d’entreprise Air Francecorporate.airfrance;contact par mail : fondation.airfrance@airfrance.fr.corporate.airfrance;https://corporate.airfrance.com/fr/fondation-air-france;"Appels à projets réguliers pour associations éducatives ; sélection de 30–50 projets par an, avec formulaires en ligne et critères d’éligibilité détaillés.corporate.airfrance";20 000 € – 30 000 € par projet (ex : 30 000 € pour Planète Sciences, 20 000 € pour Graines de joie).corporate.airfrance;Candidature AAP / Contact mécénat direct;Ambition Campus peut proposer des programmes de soutien scolaire, d’éducation à l’environnement et de mentorat à des lycéens proches des aéroports franciliens, en cohérence avec les axes de la Fondation Air France (éducation, insertion, fracture numérique, QPV) et avec l’implication des salariés Air France comme « amis de la Fondation ».corporate.airfrance;À qualifier & contacter;Vérifier la session AAP sur https://corporate.airfrance.com/fr/fondation-air-france et envoyer le PDF A4.
FOND-42;Fondation Groupe La Poste (Fondation La Poste & L’Envol – La Banque Postale);Groupe La Poste / La Banque Postale;Tier 3 - Tech, Transport & Médias;Éducation, solidarité, culture par l’écriture, égalité des chances, réussite académique de jeunes talentueux issus de milieux modestes (programme L’Envol).lapostegroupe;Direction Fondation La Poste / L’Envol;"Délégué général Fondation La Poste ; responsable programme L’Envol à La Banque Postalelapostegroupe";"contact via fondation-laposte.org et programme L’Envol ; pattern : prenom.nom@laposte.fr / prenom.nom@labanquepostale.fr.lapostegroupe";https://www.fondationlaposte.org/fondationlaposte;"Appels à projets et conventions avec associations éducatives ; programme L’Envol fonctionne avec sélection de cohortes de lycéens accompagnés sur plusieurs années.lapostegroupe";5 000 € – 20 000 € par projet ou par cohorte d’élèves (ex : plusieurs milliers d’euros par élève accompagné).lapostegroupe;Candidature AAP / Contact mécénat direct;"La Poste et La Banque Postale font de l’égalité des chances un axe majeur ; Ambition Campus peut devenir un partenaire de L’Envol en ciblant des lycéens QPV franciliens, en apportant mentorat, préparation aux concours (Sciences Po, CPGE) et ateliers d’écriture, tout en s’alignant sur les valeurs de proximité et de citoyenneté de la Fondation La Poste.lapostegroupe";À qualifier & contacter;Vérifier la session AAP sur https://www.fondationlaposte.org/fondationlaposte et envoyer le PDF A4.
FOND-43;Fondation Daniel et Nina Carasso;Fondation de France (fondation abritée, famille Carasso);Tier 4 - Fondation Abritée & Enseignement Supérieur;Éducation artistique et culturelle, art citoyen, alimentation durable, éducation, sensibilisation et environnement, publics vulnérables.cnap;Marina Nahmias;Présidente de la Fondation Daniel et Nina Carassofondationdefrance;contact_programmes@fondationcarasso.org (email générique des programmes).esshdf;https://www.fondationcarasso.org/cnap;"Appels à projets dans les axes « Art et École », « Art Sciences Société », programmes d’éducation artistique pour publics vulnérables ; dossiers et critères détaillés dans les guides.fondationcarasso";Jusqu’à 50 000 € par an par projet.esshdf;Candidature AAP / Contact mécénat direct;"Ambition Campus peut proposer des résidences d’art citoyen et ateliers d’éloquence au sein des lycées REP, articulant préparation aux études d’excellence et éducation artistique pour des jeunes de banlieue ; ce croisement arts‑citoyenneté‑éducation est au cœur des programmes « Art et École » de la Fondation Carasso.fondationdefrance";À qualifier & contacter;Vérifier la session AAP sur https://www.fondationcarasso.org/cnap et envoyer le PDF A4.
FOND-44;Fondation Entreprendre;Fondation abritée (réseau Entreprendre);Tier 4 - Fondation Abritée & Enseignement Supérieur;Égalité des chances par l’entrepreneuriat, revitalisation des territoires, innovation sociale, programmes « Graines d’entrepreneurs » pour jeunes de 8 à 25 ans.fondationdefrance;Thibault de Saint Simon;Directeur général de la Fondation Entreprendrefondationdefrance;"contact via https://www..org (formulaire) ; pattern : prenom.nom@fondation-entreprendre.org.fondation-entreprendre";https://www..org/fondationdefrance;Appels à candidatures (ex : « Accompagner les acteurs de l’éducation et de l’orientation pour aider les jeunes à entreprendre leur vie ») avec dépôt en ligne.fondation-entreprendre;"10 000 € – 50 000 € par projet ; 5,7 M€ de budget pour 41 projets en 2024.impact-pme";Candidature AAP / Contact mécénat direct;En aidant des jeunes de 8 à 25 ans à entreprendre leur avenir, la Fondation Entreprendre peut financer des modules Ambition Campus qui développent esprit d’entreprendre et orientation vers les grandes écoles chez des lycéens QPV, en lien avec des associations comme 100 000 entrepreneurs qui interviennent déjà dans les lycées.fondation-entreprendre;À qualifier & contacter;Vérifier la session AAP sur https://www..org/fondationdefrance et envoyer le PDF A4.
FOND-45;Fondation Seligmann;Fondation Seligmann;Tier 4 - Fondation Abritée & Enseignement Supérieur;Lutte contre le racisme et le communautarisme, formation des citoyens, actions en REP et QPV, promotion du vivre et agir ensemble, soutien aux projets scolaires et associatifs.fondation-seligmann;Direction Fondation Seligmann;Délégué général Fondation Seligmannfondation-seligmann;fondation-seligmann@fondation-seligmann.org (adresse officielle pour les demandes d’aide).fondation-seligmann;https://www.fondation-seligmann.org/;"Demandes d’aide via formulaire téléchargeable et envoi par courriel du représentant légal ; aides pluriannuelles possibles.fondation-seligmann";1 000 € – 10 000 € par projet (prix concours à 1 000 €, aides financières répétées).fondation-seligmann;Candidature AAP / Contact mécénat direct;En intervenant déjà dans les réseaux d’éducation prioritaire en Île‑de‑France, la Fondation Seligmann peut cofinancer des ateliers Ambition Campus centrés sur le vivre‑ensemble, l’éloquence et la citoyenneté dans les lycées REP, avec un volet explicite de lutte contre le racisme et l’autocensure dans les banlieues.fondation-seligmann;À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-seligmann.org/ et envoyer le PDF A4.
FOND-46;Fonds du 11 Janvier (abrité Fondation de France, arrivé à échéance mais inspirant);Fonds de dotation multi‑fondations;Tier 4 - Fondation Abritée & Enseignement Supérieur;Citoyenneté, respect de l’autre, dialogue interculturel, cohésion sociale, prévention de la violence chez les jeunes et du racisme.fondationdefrance;Collège de fondateurs;Comité de pilotage du Fonds du 11 Janvierfondationdefrance;"Fonds clos ; pas d’email actif pour nouveaux projets (référence historique).fondationdefrance";Abrité par la Fondation de France (historique).fondationdefrance;"Fonds clos après cinq ans ; plus de nouveaux dépôts possibles, mais les critères restent une référence pour le positionnement citoyenneté / banlieues.fondationdefrance";N.A. (fonds clôturé).lemonde;Candidature AAP / Contact mécénat direct;Même si le Fonds du 11 Janvier est clos, Ambition Campus peut reprendre ses critères (prévention de la violence, cohésion sociale, éducation au fait religieux et au dialogue) pour structurer des projets à soumettre à d’autres fondations abritées par la Fondation de France sensibles à ces enjeux en banlieue.fondationdefrance;À qualifier & contacter;Vérifier la session AAP sur Abrité par la Fondation de France (historique).fondationdefrance et envoyer le PDF A4.
FOND-47;Fondation Groupe Chèque Déjeuner / Up Fondation (à vérifier pour mécénat éducation);Groupe Up (ex Chèque Déjeuner);Tier 4 - Fondation Abritée & Enseignement Supérieur;Économie sociale et solidaire, projets citoyens, soutien à associations de proximité, inclusion.unespritdefamille;Direction Fondation Up;Délégué général mécénat Upunespritdefamille;"contact via Centre Français des Fonds et Fondations ; pattern : prenom.nom@up.coop.unespritdefamille";https://www.up.coop (section fondation);Appels à projets et soutiens via partenariats, à confirmer sur les supports actualisés.unespritdefamille;5 000 € – 20 000 € par projet (typique des fonds de dotation citoyens).unespritdefamille;Candidature AAP / Contact mécénat direct;Ambition Campus peut se positionner comme projet d’égalité des chances et d’insertion par l’éducation dans les quartiers populaires, en cohérence avec l’héritage du Groupe Chèque Déjeuner et ses engagements en ESS via la Fondation Up.unespritdefamille;À qualifier & contacter;Vérifier la session AAP sur https://www.up.coop (section fondation) et envoyer le PDF A4.
FOND-48;Fondation Caisse d’Épargne Île‑de‑France;Caisse d’Épargne Île‑de‑France;Tier 2 - Grand Donateur / BTP & Banque;"Éducation, insertion sociale, culture, solidarité dans les territoires franciliens ; soutien à associations locales.fondation-ca-paysdefrance";Direction Fondation Caisse d’Épargne IDF;Délégué général Fondation régionale;"contact via site régional de la Caisse d’Épargne ; pattern : prenom.nom@caisse-epargne.fr.ca-nordest";Site de la Caisse d’Épargne Île‑de‑France (rubrique fondation);"Appels à projets annuels régionaux, avec dépôts en ligne et enveloppes dédiées ; à vérifier sur le site régional.ca-nordest";5 000 € – 20 000 € par projet (en cohérence avec enveloppes régionales CASD / Caisses).ca-nordest;Candidature AAP / Contact mécénat direct;Ambition Campus, très ancré en Île‑de‑France, peut être cofinancé par la Fondation Caisse d’Épargne IDF pour des actions d’égalité des chances et de lutte contre le décrochage dans les lycées REP franciliens partenaires.fondation-ca-paysdefrance;À qualifier & contacter;Vérifier la session AAP sur Site de la Caisse d’Épargne Île‑de‑France (rubrique fondation) et envoyer le PDF A4.
FOND-49;Fondation Banque Populaire Rives de Paris;Banque Populaire Rives de Paris;Tier 2 - Grand Donateur / BTP & Banque;Projets éducatifs, insertion des jeunes, égalité des chances dans le territoire de Paris et petite couronne.fondation-ca-paysdefrance;Direction Fondation Rives de Paris;Délégué général Fondation régionale Banque Populaire;"contact via site régional ; pattern : prenom.nom@banquepopulaire.fr.fondation-ca-paysdefrance";Site BP Rives de Paris (rubrique fondation);"Appels à projets et soutien aux associations locales ; dossiers à déposer au fil de l’eau ou dans des fenêtres spécifiques.fondation-ca-paysdefrance";5 000 € – 20 000 € par projet.fondation-ca-paysdefrance;Candidature AAP / Contact mécénat direct;Ambition Campus, déjà en synergie avec Banque Populaire au niveau national, peut consolider un appui local via la Fondation Rives de Paris pour financer des cohortes de lycéens franciliens, avec des salariés BP mentors et jurys pour les oraux d’écoles de commerce et d’ingénieurs.fondation-ca-paysdefrance;À qualifier & contacter;Vérifier la session AAP sur Site BP Rives de Paris (rubrique fondation) et envoyer le PDF A4.
FOND-50;Fondation Bel – France (volet France de la fondation Bel);Groupe Bel;Tier 4 - Fondation Abritée & Enseignement Supérieur;Précarité alimentaire des enfants en France, éducation alimentaire, projets durables en milieu scolaire.fondation-bel;Responsable programme France;Chargé de mission projets France Fondation Belfondation-bel;"contact via formulaire « Actions en France » ; aucun email nominatif publié.fondation-bel";https://www.fondation-bel.org/fr/deposer-un-dossier/vous-etes-une-association/votre-projet-participe-a-lutter-contre-la-precarite-alimentaire-des-jeunes-enfants-en-france;"Dossiers déposés en ligne ; examinés par comité de sélection, avec calendrier annuel précisé sur la page.fondation-bel";10 000 € – 25 000 € pour projets en France.fondation-bel;Candidature AAP / Contact mécénat direct;"Les ateliers Ambition Campus peuvent intégrer un volet alimentation‑santé pour des lycéens en QPV, en lien avec les cantines de leurs établissements ; la Fondation Bel France peut financer ces actions ciblant les plus fragiles, en complément du mentorat et de la préparation aux études supérieures.fondation-bel";À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-bel.org/fr/deposer-un-dossier/vous-etes-une-association/votre-projet-participe-a-lutter-contre-la-precarite-alimentaire-des-jeunes-enfants-en-france et envoyer le PDF A4.
FOND-51;Fondation Carrefour – Appels à projets collaborateurs;Carrefour;Tier 4 - Fondation Abritée & Enseignement Supérieur;Égalité des chances, insertion sociale, nutrition, jeunes des quartiers prioritaires.carenews;Responsable AAP collaborateurs;Chargé de mécénat Fondation Carrefour;contact via les formulaires d’appel à projets et newsletter.fondation-carrefour;https://www.fondation-carrefour.org/;Appels à projets collaborateurs, avec dépôt en ligne, sélection annuelle de lauréats.fondation-carrefour;10 000 € – 30 000 € par projet.fondation-carrefour;Candidature AAP / Contact mécénat direct;Ambition Campus peut candidater sur les AAP Carrefour en mettant en avant ses antennes en quartiers prioritaires et la mobilisation de collaborateurs Carrefour comme mentors pour des jeunes accompagnés vers CPGE, Sciences Po et universités, tout en intégrant des volets nutrition et santé.carenews;À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-carrefour.org/ et envoyer le PDF A4.
FOND-52;Fondation des Ponts – Programme Ambition Grandes Écoles;Fondation de l’École des Ponts;Tier 4 - Fondation Abritée & Enseignement Supérieur;Égalité des chances, bourses de vie pour étudiants, programme Ambition Grandes Écoles.fondationdesponts;Direction Fondation des Ponts;Déléguée générale Fondation des Pontsfondationdesponts;"contact via site fondationdesponts.fr ; pattern : prenom.nom@fondationdesponts.fr.fondationdesponts";https://www.fondationdesponts.fr/fondationdesponts;"Appels internes et conventions ; programme « Ambition Grandes Écoles » soutenu intégralement par la Fondation.fondationdesponts";1 000 € – 5 000 € par bourse, 20 000 € d’enveloppe pour 2025.fondationdesponts;Candidature AAP / Contact mécénat direct;Ambition Campus peut se positionner comme structure amont de préparation aux grandes écoles (Ponts, Centrale, ENS) pour des lycéens QPV, articulant son dispositif avec le programme Ambition Grandes Écoles et en apportant un flux de candidats préparés et accompagnés.fondationdesponts;À qualifier & contacter;Vérifier la session AAP sur https://www.fondationdesponts.fr/fondationdesponts et envoyer le PDF A4.
FOND-53;Fondation Dauphine – Programme Égalité des Chances;Fondation Dauphine;Tier 4 - Fondation Abritée & Enseignement Supérieur;Bourses Égalité des Chances, soutien à étudiants issus de milieux défavorisés et ruraux, accompagnement vers l’Université Paris Dauphine.fondation-dauphine;Direction Fondation Dauphine;Délégué général Fondation Dauphinefondation-dauphine;"contact via site fondation-dauphine.fr ; pattern : prenom.nom@fondation-dauphine.fr.fondation-dauphine";Site de la Fondation Dauphine;"Appels à candidatures pour bourses Égalité des Chances ; dossiers examinés par commission.fondation-dauphine";2 000 € – 5 000 € par étudiant.fondation-dauphine;Candidature AAP / Contact mécénat direct;"Avec 17 Sorbonne et d’autres élèves en droit/éco chaque année, Ambition Campus est un vivier naturel pour Dauphine ; la Fondation peut financer des bourses ciblées sur des lauréats Ambition Campus issus des QPV, consolidant leur réussite et leur insertion dans les filières sélectives de Dauphine.fondation-dauphine";À qualifier & contacter;Vérifier la session AAP sur Site de la Fondation Dauphine et envoyer le PDF A4.
FOND-54;Fondation de l’École polytechnique – Égalité des chances;Fondation de l’École polytechnique;Tier 4 - Fondation Abritée & Enseignement Supérieur;Bourses X‑Post Bac, ouverture sociale, égalité des chances vers l’X et les grandes écoles, accompagnement financier et académique.polytechnique;Direction Fondation École polytechnique;Déléguée générale Fondation Polytechnique;contact via fondation.polytechnique.edu.polytechnique;https://www.polytechnique.edu/fondation/egalite-des-chancespolytechnique;"Programmes de bourses et appels à dons ; sélection des élèves bénéficiaires par commission.polytechnique";"Aides financières cumulées de 500 000 € sur une campagne ; plusieurs milliers d’euros par élève.polytechnique";Candidature AAP / Contact mécénat direct;Ambition Campus peut être un partenaire amont de la Fondation de l’X en identifiant des lycéens QPV à fort potentiel scientifique, en les préparant aux concours et en les orientant vers les bourses X‑Post Bac, renforçant la mixité sociale des promotions.polytechnique;À qualifier & contacter;Vérifier la session AAP sur https://www.polytechnique.edu/fondation/egalite-des-chancespolytechnique et envoyer le PDF A4.
FOND-55;Fonds de dotation « Un pied devant l’autre »;Fonds de dotation Un pied devant l’autre;Tier 4 - Fondation Abritée & Enseignement Supérieur;Réduction de la fracture sociale, égalité des chances, accompagnement scolaire et projet professionnel de jeunes, notamment issus de quartiers du Nord de Paris.unpiedevantlautre;Direction du fonds;Président / directeur du fonds de dotationunpiedevantlautre;"contact via formulaire de contact sur le site ; pattern : prenom.nom@unpiedevantlautre.com.unpiedevantlautre";https://unpiedevantlautre.com/unpiedevantlautre;"Appels à projets et conventions avec associations ; conditions précisées via contact direct.unpiedevantlautre";5 000 € – 20 000 € par projet.unpiedevantlautre;Candidature AAP / Contact mécénat direct;"Ce fonds de dotation accompagne des jeunes dans leur parcours scolaire et l’élaboration d’un projet professionnel, notamment en quartiers du Nord de Paris ; Ambition Campus, déjà implanté à Paris/IDF et structuré sur le mentorat et la préparation aux études sélectives, est un partenaire idéal pour étendre cet accompagnement aux lycéens QPV.unpiedevantlautre";À qualifier & contacter;Vérifier la session AAP sur https://unpiedevantlautre.com/unpiedevantlautre et envoyer le PDF A4.
